idx,dataset_index,miou_no_bg,adj_f1,compact_gt,compact_pred,num_inst_gt,num_inst_pred,boundary_violation_rate,expected_room_count,gt_room_count_combined,target_count_matches_gt,predicted_room_count,room_count_error
0,1344,0.16930156350183387,0.3333333333333333,0.5901203466176943,0.5367622098224667,5,8,0.1262824155774235,3,3,1,1,2
1,1632,0.34375608341731856,0.0,0.7591666012365347,0.5603408735090821,9,11,0.09755253135902421,9,9,1,4,5
2,791,0.18591654958873316,0.0,0.7171112740377283,0.5392000370531972,10,14,0.12604199310560954,8,8,1,6,2
3,2703,0.2479728835389188,0.0,0.7652248427064325,0.5285112594246144,7,10,0.13626437618285048,6,6,1,2,4
4,96,0.3931027797385233,0.3333333333333333,0.7340459651951795,0.5658368336769655,10,17,0.08590954274353876,8,8,1,2,6
5,913,0.128980954668875,0.25,0.8247186889395197,0.4635348949640847,16,11,0.2140919909226767,14,14,1,3,11
6,932,0.3518932009420755,0.0,0.5958380661497488,0.6034750964544379,8,12,0.12282017626101631,8,8,1,3,5
7,1250,0.33136838650395634,0.4000000000000001,0.7266497536869435,0.586944114741046,9,11,0.1252408477842004,6,6,1,5,1
8,1432,0.10276201948728995,0.4,0.7103098496045486,0.5461134710790523,4,10,0.20168148434480093,3,3,1,4,1
9,1885,0.5786533900299794,0.28571428571428575,0.6944290460978301,0.5682113666210823,11,12,0.11636111636111636,9,9,1,4,5
10,817,0.10872039808499759,0.0,0.7065202762635727,0.5957515339289392,6,8,0.18901480684920174,5,5,1,3,2
11,911,0.24137551982928718,0.33333333333333337,0.7736930681264046,0.5241184877124853,7,15,0.10151452066201729,6,6,1,2,4
12,1927,0.3493955541555449,0.25,0.5333184192107417,0.5613117014431841,7,6,0.10404812225654365,4,4,1,2,2
13,158,0.08327315789042812,0.0,0.8184087273732702,0.5262832744591909,9,7,0.2582904516866781,8,8,1,7,1
14,1566,0.37708195979202835,0.0,0.7036598507353241,0.6128065879216008,4,12,0.0681422845186175,4,4,1,1,3
15,442,0.31091844675726843,0.0,0.7591222985688244,0.48451114208336715,5,9,0.12061298269187702,4,4,1,5,1
16,3731,0.03438171996443382,0.0,0.8579546383267873,0.44800378229294957,5,5,0.2073529411764706,5,5,1,1,4
17,652,0.19310111467032492,0.0,0.7314547011011661,0.4263015929992286,5,10,0.06987633965375104,4,4,1,3,1
18,3570,0.1557071188381556,0.0,0.7932939242004262,0.5681206654730111,9,8,0.11694247964767115,9,9,1,2,7
19,1016,0.22920321189914045,0.2,0.6819993147049709,0.6217684904699197,12,19,0.09905050313870224,10,10,1,7,3
20,3010,0.21670072685153885,0.0,0.7768676849944292,0.4999946482156131,20,10,0.1126687593331911,17,17,1,2,15
21,3340,0.421790380806709,0.5333333333333333,0.7636136817392133,0.5009743902800728,14,13,0.1061472852090701,11,11,1,7,4
22,1686,0.20859542147003657,0.0,0.7980654969765254,0.48632599046176295,7,11,0.21037037037037037,7,7,1,3,4
23,3204,0.4372287980347521,0.36363636363636365,0.7262853602178316,0.515960619655151,10,11,0.09646750046867886,7,7,1,3,4
24,1360,0.3548017141396224,0.15384615384615383,0.7227735088219396,0.5936693200221848,8,11,0.07086578923806966,5,5,1,1,4
25,3752,0.1799801626045541,0.0,0.7565708511204827,0.5598805274254341,4,9,0.07625927182818636,4,4,1,6,2
26,734,0.14123188150465588,0.25,0.5734341788346611,0.5663791678643538,6,10,0.1483424755544956,6,6,1,3,3
27,101,0.16546308616176994,0.0,0.7492463090704894,0.5492678833037183,3,15,0.14016634050880628,3,3,1,3,0
28,1688,0.1730436179539841,0.25,0.7241112689776317,0.5165231028183779,7,6,0.2052636634329075,6,6,1,1,5
29,725,0.3758320497802164,0.6,0.7461948818472008,0.4908707053376164,7,14,0.07109248639905896,4,4,1,2,2
30,665,0.49303891537912886,0.4,0.7511056083681825,0.48064690736421267,13,14,0.08107896997943083,11,11,1,7,4
31,969,0.17103927728610455,0.0,0.678703552308301,0.560341230549767,6,5,0.18687533896335323,6,6,1,4,2
32,633,0.2798196786369652,0.42857142857142855,0.7987215785822849,0.5353522258027412,10,11,0.19344442697689043,7,7,1,2,5
33,3069,0.22359464669758458,0.28571428571428575,0.7739107122708397,0.6448980105281635,5,6,0.14868087070225366,3,3,1,4,1
34,2542,0.27599007727511743,0.0,0.6695331898539255,0.548659239609473,5,8,0.11333148942055041,5,5,1,4,1
35,3407,0.19126618621323122,0.25,0.7185998116756721,0.5329530489289106,5,11,0.11856758832565284,4,4,1,2,2
36,2293,0.29713900371752705,0.0,0.7528598146157635,0.6452715160161967,4,9,0.108004883699089,4,4,1,3,1
37,3195,0.25575902238336307,0.33333333333333337,0.7237586106698821,0.6007943760073311,4,8,0.08538788042987447,3,3,1,4,1
38,1448,0.2733103801189378,0.125,0.7136470564933666,0.5582426377495124,16,19,0.09561066824131483,13,13,1,4,9
39,421,0.39140351144902824,0.3636363636363636,0.6706166676421457,0.5522095557078962,10,12,0.10796561219692391,8,8,1,3,5
40,2731,0.4762839016840225,0.4444444444444445,0.7815134949469389,0.5772215755670852,5,10,0.10072522159548751,3,3,1,1,2
41,1022,0.29310466906223287,0.0,0.8007729495667639,0.5130391999216878,5,16,0.10347759793572602,5,5,1,2,3
42,2793,0.22894537160316905,0.5714285714285715,0.7343846876338003,0.541952735479203,11,13,0.11434034416826004,9,9,1,4,5
43,860,0.2664038466597387,0.0,0.7146665607215484,0.6334458586846473,4,10,0.14516050701762906,3,3,1,1,2
44,1465,0.2190987125118562,0.0,0.7024358338572361,0.5130009786838141,6,7,0.12727272727272726,5,5,1,4,1
45,163,0.3458361394949304,0.0,0.7512277355045529,0.5995275515405374,13,16,0.13530130604139617,12,12,1,4,8
46,1493,0.12860642161842903,0.0,0.7371633347730111,0.5187724198545884,5,8,0.14706893587760014,4,4,1,3,1
47,1262,0.19249436069143766,0.25,0.6952891382504462,0.5340292144209571,11,13,0.18210361067503925,11,11,1,3,8
48,171,0.3141632586009338,0.0,0.705721280167366,0.5031915290115875,5,8,0.1479983208029615,4,4,1,3,1
49,522,0.23873144838549978,0.0,0.6637740488055341,0.44921728087046153,3,4,0.11722012328494731,3,3,1,5,2
50,1760,0.4957245864785274,0.2,0.6969441264702014,0.5946602202876122,10,13,0.10602040214635297,8,8,1,2,6
51,606,0.3714650341389412,0.0,0.7426834198363609,0.6791424651094715,5,4,0.14147578955108644,4,4,1,4,0
52,2263,0.21230669118926798,0.0,0.7318429373661993,0.5553392471550098,4,9,0.15718740718740717,4,4,1,1,3
53,2385,0.0789514812584634,0.0,0.6327448189565075,0.5295642354673967,7,14,0.23259157394674335,7,7,1,4,3
54,1512,0.1861644006353209,0.0,0.7252250947323154,0.6161030390006569,7,15,0.16043380703066568,7,7,1,12,5
55,147,0.17823841406462876,0.0,0.6777064557876827,0.612789829303422,4,5,0.28092548733831296,4,4,1,4,0
56,2234,0.2802764861623463,0.0,0.7628541713860865,0.49000879866055735,6,4,0.23829170383586085,5,5,1,2,3
57,610,0.23173765853996015,0.3333333333333333,0.7850834633219702,0.6544200696111169,10,12,0.15297634520405512,8,8,1,10,2
58,2830,0.13527912028177633,0.0,0.6615732673532836,0.4578433640901746,6,7,0.1657641395908544,6,6,1,3,3
59,3420,0.11652908619120202,0.0,0.7900608969250486,0.4157906259632229,4,4,0.16666666666666666,4,4,1,1,3
