idx,dataset_index,miou_no_bg,adj_f1,compact_gt,compact_pred,num_inst_gt,num_inst_pred,boundary_violation_rate,expected_room_count,gt_room_count_combined,target_count_matches_gt,predicted_room_count,room_count_error
0,1344,0.20326497829422402,0.16666666666666669,0.5901203466176943,0.6807410330944056,5,12,6.965243435258063e-05,3,3,1,2,1
1,1632,0.4281360026998397,0.0,0.7591666012365347,0.6801496562847548,9,14,0.00014943215780035862,9,9,1,5,4
2,791,0.26261861730501646,0.0,0.7171112740377283,0.6788791806759801,10,20,0.00042515500442869795,8,8,1,5,3
3,2703,0.37507263162003557,0.0,0.7652248427064325,0.6598568424229223,7,13,0.0,6,6,1,4,2
4,96,0.5023867577881697,0.6153846153846153,0.7340459651951795,0.6746595287911744,10,20,5.465227490094275e-05,8,8,1,4,4
5,913,0.2089217368558692,0.0,0.8247186889395197,0.6699064877136925,16,15,0.004435573297848747,14,14,1,4,10
6,932,0.43455379228855223,0.0,0.5958380661497488,0.6214096624337812,8,17,0.0,8,8,1,5,3
7,1250,0.4379074897841731,0.3636363636363636,0.7266497536869435,0.6169490458550363,9,13,0.0,6,6,1,4,2
8,1432,0.1817586863720014,0.4,0.7103098496045486,0.6640408450583014,4,14,0.0014690579665789312,3,3,1,3,0
9,1885,0.7227050972342507,0.28571428571428575,0.6944290460978301,0.7003606839940613,11,15,0.0,9,9,1,6,3
10,817,0.18153148354973242,0.0,0.7065202762635727,0.6628348145058195,6,12,0.00020716801325875285,5,5,1,3,2
11,911,0.30624540419762886,0.33333333333333337,0.7736930681264046,0.5316998734477036,7,16,0.0,6,6,1,2,4
12,1927,0.4379253768768814,0.28571428571428575,0.5333184192107417,0.6786823384096751,7,6,0.0028474327179204557,4,4,1,4,0
13,158,0.16887690067145847,0.0,0.8184087273732702,0.7353354268432684,9,10,0.0,8,8,1,5,3
14,1566,0.4233182262877458,0.0,0.7036598507353241,0.5995026519673076,4,15,0.0,4,4,1,3,1
15,442,0.4933772640594034,0.0,0.7591222985688244,0.49747664041979855,5,9,0.0,4,4,1,5,1
16,3731,0.0806870341461307,0.0,0.8579546383267873,0.7091547886841942,5,8,0.0,5,5,1,3,2
17,652,0.25647193719827854,0.0,0.7314547011011661,0.5883255603916457,5,17,0.0,4,4,1,3,1
18,3570,0.21533073168792086,0.0,0.7932939242004262,0.6454478139341394,9,12,0.0008363746958637469,9,9,1,3,6
19,1016,0.31009633038418716,0.16666666666666669,0.6819993147049709,0.6717008435826887,12,21,0.0,10,10,1,6,4
20,3010,0.294341174495484,0.2222222222222222,0.7768676849944292,0.6269199256336061,20,13,0.0006311360448807854,17,17,1,6,11
21,3340,0.5012599448859892,0.5714285714285714,0.7636136817392133,0.6792424328567306,14,20,0.0008759635599159075,11,11,1,3,8
22,1686,0.36427014851638834,0.0,0.7980654969765254,0.6706242508228661,7,11,0.00273224043715847,7,7,1,3,4
23,3204,0.551902479727157,0.4,0.7262853602178316,0.5985647447766894,10,11,0.0,7,7,1,3,4
24,1360,0.4250785944545623,0.18181818181818182,0.7227735088219396,0.5672829345922777,8,9,0.000631589175533207,5,5,1,1,4
25,3752,0.23629301627092617,0.0,0.7565708511204827,0.6945899980151332,4,16,0.0,4,4,1,2,2
26,734,0.21370848499764758,0.16666666666666669,0.5734341788346611,0.7485330299288165,6,14,0.0,6,6,1,3,3
27,101,0.24943001464757417,0.0,0.7492463090704894,0.615608614931916,3,19,0.0,3,3,1,3,0
28,1688,0.24191903913595383,0.25,0.7241112689776317,0.534067018033194,7,6,0.00012610340479192938,6,6,1,2,4
29,725,0.41469779282363917,0.5,0.7461948818472008,0.5700920545055488,7,22,0.0,4,4,1,4,0
30,665,0.5889978531557695,0.25,0.7511056083681825,0.5851685225620471,13,17,0.0007338828045613639,11,11,1,5,6
31,969,0.2595401793661349,0.0,0.678703552308301,0.6734158734348831,6,7,0.0014475969889982628,6,6,1,2,4
32,633,0.36610058286571223,0.5,0.7987215785822849,0.6899145578100707,10,14,0.00020314880650076182,7,7,1,3,4
33,3069,0.3087437622707082,0.4444444444444445,0.7739107122708397,0.7495641427931812,5,9,0.000549551199853453,3,3,1,2,1
34,2542,0.3986780901161142,0.0,0.6695331898539255,0.7038079498514378,5,12,0.0,5,5,1,4,1
35,3407,0.25479091241318863,0.25,0.7185998116756721,0.6553028854018828,5,12,0.0,4,4,1,2,2
36,2293,0.40011122666862714,0.0,0.7528598146157635,0.6776282607573728,4,12,0.0,4,4,1,3,1
37,3195,0.30215194563668923,0.25,0.7237586106698821,0.6997718912040564,4,12,0.0,3,3,1,2,1
38,1448,0.3342515127557175,0.18181818181818182,0.7136470564933666,0.6751051080511922,16,24,0.0003637991828510662,13,13,1,6,7
39,421,0.4967782666385319,0.4,0.6706166676421457,0.6534906822041682,10,17,0.0034588777863182167,8,8,1,6,2
40,2731,0.6032032245570258,0.5,0.7815134949469389,0.6201350681306564,5,11,0.0,3,3,1,3,0
41,1022,0.35747346915410255,0.0,0.8007729495667639,0.54961533971582,5,17,0.0,5,5,1,2,3
42,2793,0.3124612339877305,0.3636363636363636,0.7343846876338003,0.5645292367671666,11,18,0.0037107003103494804,9,9,1,3,6
43,860,0.3445396174769848,0.0,0.7146665607215484,0.6457192581352105,4,10,0.0,3,3,1,2,1
44,1465,0.3675243452274264,0.0,0.7024358338572361,0.7689483207079949,6,12,0.0006777691711851278,5,5,1,5,0
45,163,0.43663581340669755,0.0,0.7512277355045529,0.6900399131007404,13,20,0.003223351390070287,12,12,1,6,6
46,1493,0.18083352654027612,0.0,0.7371633347730111,0.5565946020287562,5,11,0.0,4,4,1,3,1
47,1262,0.2779578626186677,0.0,0.6952891382504462,0.6843550369537273,11,15,0.0010079919360645115,11,11,1,6,5
48,171,0.39316439843855183,0.19999999999999998,0.705721280167366,0.6357627128916927,5,11,0.0,4,4,1,1,3
49,522,0.2848514897635415,0.0,0.6637740488055341,0.6783424105417994,3,7,0.0,3,3,1,2,1
50,1760,0.6103058922351144,0.22222222222222224,0.6969441264702014,0.6428516263350442,10,14,0.0,8,8,1,4,4
51,606,0.46139032003851854,0.0,0.7426834198363609,0.75710819042982,5,4,0.0,4,4,1,4,0
52,2263,0.2862187033350433,0.0,0.7318429373661993,0.6069835039570003,4,10,0.0,4,4,1,4,0
53,2385,0.12958565942429204,0.0,0.6327448189565075,0.667923691179446,7,17,0.00017014036580178648,7,7,1,4,3
54,1512,0.31180006009946526,0.0,0.7252250947323154,0.6257214899505529,7,19,0.0,7,7,1,6,1
55,147,0.309115035404342,0.0,0.6777064557876827,0.7921789915254495,4,10,0.01597184623714131,4,4,1,4,0
56,2234,0.43113043460383116,0.0,0.7628541713860865,0.5919015351898508,6,6,0.003665801130288682,5,5,1,4,1
57,610,0.33391506402344995,0.16666666666666669,0.7850834633219702,0.6983059689867439,10,18,0.0017527815881725347,8,8,1,7,1
