idx,dataset_index,miou_no_bg,adj_f1,compact_gt,compact_pred,num_inst_gt,num_inst_pred,boundary_violation_rate,expected_room_count,gt_room_count_combined,target_count_matches_gt,predicted_room_count,room_count_error
0,1344,0.3561655469576239,0.4444444444444445,0.5901203466176943,0.5446023017322612,5,10,0.11713770294648226,3,3,1,1,2
1,1632,0.3446903086203345,0.0,0.7591666012365347,0.5720708609326561,9,10,0.10147885084278596,9,9,1,2,7
2,791,0.22468227816915626,0.0,0.7171112740377283,0.6330719845930936,10,19,0.12508921644685803,8,8,1,4,4
3,2703,0.33861791319479667,0.0,0.7652248427064325,0.42575054701935133,7,8,0.132194781915953,6,6,1,5,1
4,96,0.5251122800434974,0.7272727272727273,0.7340459651951795,0.5274233687214738,10,16,0.08461186750660435,8,8,1,7,1
5,913,0.17342231169433128,0.5,0.8247186889395197,0.5830435342097497,16,15,0.20024462694391054,14,14,1,7,7
6,932,0.34993785868797966,0.0,0.5958380661497488,0.4828321238280657,8,8,0.1290145818746385,8,8,1,2,6
7,1250,0.3760427846325768,0.5454545454545454,0.7266497536869435,0.5704638748008023,9,8,0.12698707472886644,6,6,1,3,3
8,1432,0.2034144213188947,0.25,0.7103098496045486,0.601558587813534,4,12,0.19505265735978447,3,3,1,3,0
9,1885,0.4938575943225567,0.3636363636363636,0.6944290460978301,0.5729150198963744,11,15,0.125406854298296,9,9,1,6,3
10,817,0.10215725290634947,0.0,0.7065202762635727,0.6154781639918079,6,5,0.19212830373946485,5,5,1,3,2
11,911,0.2720119168414668,0.33333333333333337,0.7736930681264046,0.4535925383802909,7,13,0.09627304825421734,6,6,1,3,3
12,1927,0.30984395662598496,0.22222222222222224,0.5333184192107417,0.6257559050248224,7,8,0.11152551992540641,4,4,1,2,2
13,158,0.16326641137387288,0.4,0.8184087273732702,0.5337272912828945,9,5,0.2553546592489569,8,8,1,1,7
14,1566,0.42229352208128373,0.0,0.7036598507353241,0.47857313460480533,4,10,0.07506769009116426,4,4,1,1,3
15,442,0.41124733082959336,0.0,0.7591222985688244,0.5772953681712258,5,13,0.11287283124309572,4,4,1,5,1
16,3731,0.039018779501943386,0.0,0.8579546383267873,0.4700258501032633,5,5,0.21522118742724097,5,5,1,1,4
17,652,0.25383829476463704,0.19999999999999998,0.7314547011011661,0.4206557932147153,5,11,0.07109441918692759,4,4,1,1,3
18,3570,0.19285725120641892,0.0,0.7932939242004262,0.4998106683320966,9,6,0.1210387902695595,9,9,1,2,7
19,1016,0.2669990996650711,0.25,0.6819993147049709,0.6188167522117666,12,11,0.11220563336924734,10,10,1,4,6
20,3010,0.32439508425252334,0.18181818181818182,0.7768676849944292,0.5273551465941305,20,11,0.10426599358075472,17,17,1,3,14
21,3340,0.4269030332601556,0.7999999999999999,0.7636136817392133,0.5202458351697293,14,11,0.10875244109665475,11,11,1,2,9
22,1686,0.15129709199762426,0.0,0.7980654969765254,0.6325410066677333,7,9,0.19880205362236167,7,7,1,4,3
23,3204,0.5524092872086465,0.5,0.7262853602178316,0.5869406955801713,10,8,0.09953026439404107,7,7,1,3,4
24,1360,0.24971612897606374,0.15384615384615383,0.7227735088219396,0.49830501121545595,8,11,0.07090738170911859,5,5,1,1,4
25,3752,0.1546402718983718,0.0,0.7565708511204827,0.47622245829517723,4,14,0.08548287492280651,4,4,1,1,3
26,734,0.11900465855577548,0.33333333333333337,0.5734341788346611,0.5231461204184178,6,11,0.1566612791503117,6,6,1,2,4
27,101,0.07946493300141753,0.0,0.7492463090704894,0.564753846419799,3,12,0.13299644805741698,3,3,1,3,0
28,1688,0.35408931238735536,0.5714285714285715,0.7241112689776317,0.6536557137816472,7,6,0.2035133246831021,6,6,1,2,4
29,725,0.38247923971237,0.18181818181818182,0.7461948818472008,0.5692316756658002,7,11,0.07405502070012983,4,4,1,3,1
30,665,0.39758762381003804,0.3076923076923077,0.7511056083681825,0.42704102753887097,13,13,0.08954070825130211,11,11,1,1,10
31,969,0.1663545187936589,0.0,0.678703552308301,0.6776713833901121,6,6,0.18814589665653494,6,6,1,1,5
32,633,0.180956558620738,0.3076923076923077,0.7987215785822849,0.5195792915857799,10,8,0.19178400123781525,7,7,1,2,5
33,3069,0.19301674674682628,0.0,0.7739107122708397,0.6004175041850462,5,7,0.15227546714888487,3,3,1,1,2
34,2542,0.3707123543498438,0.0,0.6695331898539255,0.5176865476361127,5,9,0.13525775907417148,5,5,1,1,4
35,3407,0.21452427651039935,0.0,0.7185998116756721,0.43654097301279915,5,10,0.13479798920126607,4,4,1,1,3
36,2293,0.31006252041404236,0.0,0.7528598146157635,0.5435194786834081,4,8,0.11640342472104596,4,4,1,4,0
37,3195,0.26282465705294356,0.33333333333333337,0.7237586106698821,0.582721250763111,4,12,0.0915517390927227,3,3,1,2,1
38,1448,0.29169114567912185,0.13333333333333333,0.7136470564933666,0.48624129448914755,16,17,0.10685897900509772,13,13,1,1,12
39,421,0.4724001877950344,0.4444444444444445,0.6706166676421457,0.6220068821586193,10,12,0.10018980477223427,8,8,1,3,5
40,2731,0.45203040024445995,0.3333333333333333,0.7815134949469389,0.5866212415193872,5,13,0.09791427278108569,3,3,1,6,3
41,1022,0.5570826880737877,1.0,0.8007729495667639,0.6808702764968735,5,6,0.09884778653729533,5,5,1,8,3
42,2793,0.18300920646384328,0.25,0.7343846876338003,0.611118566680904,11,16,0.11360602734850057,9,9,1,6,3
43,860,0.3269136198396896,0.0,0.7146665607215484,0.5199953428308438,4,10,0.14565839926224336,3,3,1,1,2
44,1465,0.2868890642747991,0.2857142857142857,0.7024358338572361,0.5082936301865081,6,6,0.1307829181494662,5,5,1,2,3
45,163,0.2866836713677455,0.18181818181818182,0.7512277355045529,0.5352588079981173,13,13,0.13848812744214006,12,12,1,4,8
46,1493,0.22879513212733796,0.0,0.7371633347730111,0.44269383677611823,5,5,0.14421405249544164,4,4,1,3,1
47,1262,0.15534003056113238,0.3636363636363636,0.6952891382504462,0.5498961957858626,11,13,0.18460794324716504,11,11,1,3,8
48,171,0.33232970075689044,0.25,0.705721280167366,0.5308727060767477,5,7,0.1643880326382593,4,4,1,1,3
49,522,0.21190627627632758,0.0,0.6637740488055341,0.5487299758638244,3,7,0.12453174526942656,3,3,1,1,2
50,1760,0.5290366742704088,0.1818181818181818,0.6969441264702014,0.5004396449590514,10,9,0.10347572300344919,8,8,1,1,7
51,606,0.38680689292391407,1.0,0.7426834198363609,0.6283665477439293,5,5,0.1307421816549454,4,4,1,4,0
52,2263,0.3081580425270877,0.0,0.7318429373661993,0.6357572011853189,4,7,0.15999704666272888,4,4,1,1,3
53,2385,0.23245126848906358,0.0,0.6327448189565075,0.5946091612406573,7,14,0.22919134609389613,7,7,1,3,4
54,1512,0.23003144284062524,0.0,0.7252250947323154,0.5836540775983938,7,13,0.15853423336547734,7,7,1,5,2
55,147,0.1811016193312394,0.0,0.6777064557876827,0.6093779007464195,4,4,0.27387120651369357,4,4,1,3,1
56,2234,0.3131996374117328,0.0,0.7628541713860865,0.46559205847340335,6,4,0.24126068138941295,5,5,1,2,3
57,610,0.2660116891544756,0.22222222222222224,0.7850834633219702,0.5322360517388479,10,12,0.15849673202614378,8,8,1,5,3
58,2830,0.257759978443474,0.0,0.6615732673532836,0.5781927518461961,6,9,0.15536777415018244,6,6,1,5,1
59,3420,0.39603776651523687,0.0,0.7900608969250486,0.5148504502602879,4,3,0.1696923076923077,4,4,1,1,3
60,3533,0.5392116936621661,0.0,0.7305693080893267,0.6215578315201101,10,11,0.09497224942866471,9,9,1,6,3
61,39,0.14029365137799601,0.36363636363636365,0.7024672672923606,0.46384728162129896,8,9,0.1642923616579569,6,6,1,2,4
62,2297,0.3437393517087245,0.4,0.6463532767564285,0.5200947459297647,7,13,0.14413052745804752,5,5,1,4,1
63,1751,0.1180442775365427,0.18181818181818182,0.7126878653315644,0.5548557403673376,7,12,0.1254833221632211,7,7,1,1,6
64,2890,0.20971062718618436,0.0,0.6183390210939519,0.5549671227162704,8,17,0.06045576700386725,8,8,1,2,6
65,2259,0.3663555536482408,0.0,0.7049067292776777,0.5138682867593611,5,9,0.11747612000538141,5,5,1,3,2
66,1809,0.44422011488444596,0.25,0.6725402180224196,0.5879940915124384,10,15,0.07988015560441684,9,9,1,7,2
67,3036,0.30984728015268864,0.3636363636363636,0.7722391098074207,0.48918693102053357,13,14,0.12717382345668837,11,11,1,2,9
