idx,dataset_index,miou_no_bg,adj_f1,compact_gt,compact_pred,num_inst_gt,num_inst_pred,boundary_violation_rate,expected_room_count,gt_room_count_combined,target_count_matches_gt,predicted_room_count,room_count_error
0,1344,0.41437789856489554,0.3636363636363636,0.5901203466176943,0.4986051636978838,5,15,0.0,3,3,1,5,2
1,1632,0.46121783407736866,0.0,0.7591666012365347,0.5576698863842253,9,11,0.0,9,9,1,4,5
2,791,0.295675646711257,0.0,0.7171112740377283,0.5082670401034012,10,30,0.0,8,8,1,5,3
3,2703,0.4424015168202976,0.0,0.7652248427064325,0.606444060533341,7,16,0.0,6,6,1,3,3
4,96,0.6082560637500956,0.6153846153846153,0.7340459651951795,0.47067276074099507,10,22,0.0,8,8,1,2,6
5,913,0.2640686982987031,0.2666666666666667,0.8247186889395197,0.5636546719733464,16,22,0.0,14,14,1,4,10
6,932,0.4283407096838315,0.0,0.5958380661497488,0.6218528911644304,8,12,0.0,8,8,1,4,4
7,1250,0.48174363306465806,0.3076923076923077,0.7266497536869435,0.5057810092030038,9,13,0.0,6,6,1,3,3
8,1432,0.2977177956499509,0.2222222222222222,0.7103098496045486,0.5167211437432232,4,16,0.0,3,3,1,4,1
9,1885,0.6244500117812758,0.1818181818181818,0.6944290460978301,0.5033144323160872,11,18,0.0,9,9,1,5,4
10,817,0.18228961516242362,0.0,0.7065202762635727,0.6105664016402282,6,6,0.0,5,5,1,3,2
11,911,0.3103013028212065,0.33333333333333337,0.7736930681264046,0.4362887519159333,7,18,0.0,6,6,1,2,4
12,1927,0.4151399224106828,0.4444444444444445,0.5333184192107417,0.5022206130482751,7,12,0.0,4,4,1,3,1
13,158,0.18136432184357906,0.0,0.8184087273732702,0.5576123695731392,9,12,0.0,8,8,1,5,3
14,1566,0.5229751111629449,0.0,0.7036598507353241,0.39094421019561915,4,12,0.0,4,4,1,4,0
15,442,0.5436656286924969,0.33333333333333337,0.7591222985688244,0.49534343268447384,5,20,0.0,4,4,1,7,3
16,3731,0.1279258391924781,0.0,0.8579546383267873,0.5443027429535005,5,11,0.0,5,5,1,3,2
17,652,0.31203059096298535,0.25,0.7314547011011661,0.364347898421117,5,12,0.0,4,4,1,2,2
18,3570,0.2758637768798506,0.0,0.7932939242004262,0.6583532580952901,9,13,0.0,9,9,1,3,6
19,1016,0.33655501224859563,0.25,0.6819993147049709,0.5571053306555207,12,12,0.0,10,10,1,5,5
