filename,sample_id,room_count,unique_classes,unique_class_count,semantic_nonzero_pixels,outline_pixels,sem_shape,outline_shape,valid,reason,present_in_clean_folder,missing_keys,error
high_quality_architectural_10000_Floor-1.npz,high_quality_architectural/10000/Floor-1,1,"0,4,8",3,7793,7793,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10001_Floor-1.npz,high_quality_architectural/10001/Floor-1,5,"0,1,2,4,5,7,8",7,14425,14425,256x256,256x256,True,kept,True,,
high_quality_architectural_10002_Floor-1.npz,high_quality_architectural/10002/Floor-1,8,"0,1,3,4,5,7,8",7,28359,28359,256x256,256x256,True,kept,True,,
high_quality_architectural_10006_Floor-1.npz,high_quality_architectural/10006/Floor-1,10,"0,1,3,4,5,7,8",7,29899,29899,256x256,256x256,True,kept,True,,
high_quality_architectural_10007_Floor-1.npz,high_quality_architectural/10007/Floor-1,8,"0,3,4,5,7,8",6,21346,21346,256x256,256x256,True,kept,True,,
high_quality_architectural_10008_Floor-1.npz,high_quality_architectural/10008/Floor-1,13,"0,1,2,3,4,5,7,8",8,24578,24578,256x256,256x256,True,kept,True,,
high_quality_architectural_1000_Floor-1.npz,high_quality_architectural/1000/Floor-1,10,"0,1,2,3,4,5,6,7,8",9,25632,25632,256x256,256x256,True,kept,True,,
high_quality_architectural_10013_Floor-1.npz,high_quality_architectural/10013/Floor-1,6,"0,1,2,4,5,8",6,13898,13898,256x256,256x256,True,kept,True,,
high_quality_architectural_10013_Floor-2.npz,high_quality_architectural/10013/Floor-2,8,"0,1,3,4,5,8",6,12466,12466,256x256,256x256,True,kept,True,,
high_quality_architectural_10016_Floor-1.npz,high_quality_architectural/10016/Floor-1,10,"0,1,2,3,4,5,7,8",8,25977,25977,256x256,256x256,True,kept,True,,
high_quality_architectural_10018_Floor-1.npz,high_quality_architectural/10018/Floor-1,3,"0,1,2,4,5,7,8",7,27828,27828,256x256,256x256,True,kept,True,,
high_quality_architectural_10019_Floor-1.npz,high_quality_architectural/10019/Floor-1,2,"0,1,3,5,8",5,32955,32955,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10020_Floor-1.npz,high_quality_architectural/10020/Floor-1,2,"0,1,2,3,4,5,8",7,42682,42682,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10022_Floor-1.npz,high_quality_architectural/10022/Floor-1,13,"0,1,2,3,4,5,6,7,8",9,16012,16012,256x256,256x256,True,kept,True,,
high_quality_architectural_10023_Floor-1.npz,high_quality_architectural/10023/Floor-1,6,"0,1,2,3,4,5,7,8",8,26536,26536,256x256,256x256,True,kept,True,,
high_quality_architectural_10025_Floor-1.npz,high_quality_architectural/10025/Floor-1,7,"0,1,2,4,7,8",6,30196,30196,256x256,256x256,True,kept,True,,
high_quality_architectural_10026_Floor-1.npz,high_quality_architectural/10026/Floor-1,4,"0,2,3,4,8",5,25443,25443,256x256,256x256,True,kept,True,,
high_quality_architectural_10028_Floor-1.npz,high_quality_architectural/10028/Floor-1,1,"0,1,2,8",4,26672,26672,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10029_Floor-1.npz,high_quality_architectural/10029/Floor-1,7,"0,1,2,3,4,5,6,7,8",9,43831,43831,256x256,256x256,True,kept,True,,
high_quality_architectural_10034_Floor-1.npz,high_quality_architectural/10034/Floor-1,4,"0,1,3,4,7,8",6,20653,20653,256x256,256x256,True,kept,True,,
high_quality_architectural_10035_Floor-1.npz,high_quality_architectural/10035/Floor-1,9,"0,2,3,4,5,7,8",7,34080,34080,256x256,256x256,True,kept,True,,
high_quality_architectural_10036_Floor-1.npz,high_quality_architectural/10036/Floor-1,15,"0,1,2,3,4,5,7,8",8,31165,31165,256x256,256x256,True,kept,True,,
high_quality_architectural_10039_Floor-1.npz,high_quality_architectural/10039/Floor-1,10,"0,1,2,3,4,5,7,8",8,42579,42579,256x256,256x256,True,kept,True,,
high_quality_architectural_10043_Floor-1.npz,high_quality_architectural/10043/Floor-1,5,"0,2,3,4,5,6,7,8",8,32074,32074,256x256,256x256,True,kept,True,,
high_quality_architectural_10044_Floor-1.npz,high_quality_architectural/10044/Floor-1,10,"0,1,3,4,5,7,8",7,22254,22254,256x256,256x256,True,kept,True,,
high_quality_architectural_10045_Floor-1.npz,high_quality_architectural/10045/Floor-1,3,"0,1,3,4,5,8",6,26838,26838,256x256,256x256,True,kept,True,,
high_quality_architectural_10046_Floor-1.npz,high_quality_architectural/10046/Floor-1,8,"0,1,2,3,4,5,7,8",8,45080,45080,256x256,256x256,True,kept,True,,
high_quality_architectural_10047_Floor-1.npz,high_quality_architectural/10047/Floor-1,4,"0,1,2,4,5,7,8",7,9444,9444,256x256,256x256,True,kept,True,,
high_quality_architectural_10047_Floor-2.npz,high_quality_architectural/10047/Floor-2,5,"0,2,4,7,8",5,8137,8137,256x256,256x256,True,kept,True,,
high_quality_architectural_1004_Floor-1.npz,high_quality_architectural/1004/Floor-1,5,"0,1,2,4,5,7,8",7,29866,29866,256x256,256x256,True,kept,True,,
high_quality_architectural_10054_Floor-1.npz,high_quality_architectural/10054/Floor-1,12,"0,1,2,3,4,5,7,8",8,37620,37620,256x256,256x256,True,kept,True,,
high_quality_architectural_10058_Floor-1.npz,high_quality_architectural/10058/Floor-1,4,"0,1,2,4,5,6,7,8",8,14406,14406,256x256,256x256,True,kept,True,,
