filename,sample_id,room_count,unique_classes,unique_class_count,semantic_nonzero_pixels,outline_pixels,sem_shape,outline_shape,valid,reason,present_in_clean_folder,missing_keys,error
high_quality_architectural_10000_Floor-1.npz,high_quality_architectural/10000/Floor-1,1,"0,4,8",3,7793,7793,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10019_Floor-1.npz,high_quality_architectural/10019/Floor-1,2,"0,1,3,5,8",5,32955,32955,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10020_Floor-1.npz,high_quality_architectural/10020/Floor-1,2,"0,1,2,3,4,5,8",7,42682,42682,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10028_Floor-1.npz,high_quality_architectural/10028/Floor-1,1,"0,1,2,8",4,26672,26672,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10063_Floor-2.npz,high_quality_architectural/10063/Floor-2,1,"0,7,8",3,1321,1321,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10070_Floor-1.npz,high_quality_architectural/10070/Floor-1,1,"0,4,8",3,4389,4389,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10080_Floor-1.npz,high_quality_architectural/10080/Floor-1,2,"0,1,2,4,5,7,8",7,31384,31384,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10092_Floor-1.npz,high_quality_architectural/10092/Floor-1,2,"0,7,8",3,4326,4326,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10108_Floor-2.npz,high_quality_architectural/10108/Floor-2,1,"0,4,8",3,2263,2263,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10113_Floor-1.npz,high_quality_architectural/10113/Floor-1,2,"0,1,4,5,7,8",6,29310,29310,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10127_Floor-1.npz,high_quality_architectural/10127/Floor-1,1,"0,1,2,8",4,34348,34348,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10136_Floor-1.npz,high_quality_architectural/10136/Floor-1,0,"0,8",2,2312,2312,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10152_Floor-1.npz,high_quality_architectural/10152/Floor-1,0,"0,8",2,3618,3618,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10155_Floor-1.npz,high_quality_architectural/10155/Floor-1,0,"0,8",2,2297,2297,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10156_Floor-1.npz,high_quality_architectural/10156/Floor-1,2,"0,4,7,8",4,4474,4474,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10158_Floor-1.npz,high_quality_architectural/10158/Floor-1,0,"0,8",2,8801,8801,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10160_Floor-1.npz,high_quality_architectural/10160/Floor-1,2,"0,1,2,3,5,8",6,20399,20399,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10163_Floor-1.npz,high_quality_architectural/10163/Floor-1,0,"0,8",2,7120,7120,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10179_Floor-1.npz,high_quality_architectural/10179/Floor-1,2,"0,1,4,8",4,15995,15995,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_1018_Floor-1.npz,high_quality_architectural/1018/Floor-1,0,"0,8",2,3133,3133,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_1020_Floor-1.npz,high_quality_architectural/1020/Floor-1,1,"0,7,8",3,7862,7862,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_1021_Floor-2.npz,high_quality_architectural/1021/Floor-2,1,"0,5,8",3,7468,7468,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10220_Floor-1.npz,high_quality_architectural/10220/Floor-1,0,"0,8",2,4763,4763,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10237_Floor-1.npz,high_quality_architectural/10237/Floor-1,0,"0,8",2,1700,1700,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10237_Floor-3.npz,high_quality_architectural/10237/Floor-3,2,"0,4,7,8",4,1559,1559,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10240_Floor-2.npz,high_quality_architectural/10240/Floor-2,1,"0,5,8",3,13617,13617,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10249_Floor-1.npz,high_quality_architectural/10249/Floor-1,2,"0,1,2,3,8",5,21473,21473,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10262_Floor-1.npz,high_quality_architectural/10262/Floor-1,1,"0,2,7,8",4,10199,10199,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10262_Floor-2.npz,high_quality_architectural/10262/Floor-2,1,"0,5,8",3,8699,8699,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10271_Floor-1.npz,high_quality_architectural/10271/Floor-1,0,"0,8",2,2479,2479,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10298_Floor-1.npz,high_quality_architectural/10298/Floor-1,2,"0,2,5,8",4,29574,29574,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10319_Floor-1.npz,high_quality_architectural/10319/Floor-1,2,"0,1,2,3,6,8",6,28906,28906,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10348_Floor-1.npz,high_quality_architectural/10348/Floor-1,1,"0,1,2,8",4,24381,24381,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10350_Floor-1.npz,high_quality_architectural/10350/Floor-1,2,"0,1,2,8",4,28555,28555,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10354_Floor-1.npz,high_quality_architectural/10354/Floor-1,2,"0,2,4,8",4,28042,28042,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10359_Floor-1.npz,high_quality_architectural/10359/Floor-1,1,"0,1,8",3,13836,13836,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10365_Floor-1.npz,high_quality_architectural/10365/Floor-1,0,"0,8",2,5543,5543,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10366_Floor-1.npz,high_quality_architectural/10366/Floor-1,2,"0,1,4,5,8",5,20255,20255,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10368_Floor-1.npz,high_quality_architectural/10368/Floor-1,2,"0,1,4,8",4,14666,14666,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10381_Floor-1.npz,high_quality_architectural/10381/Floor-1,2,"0,1,3,4,8",5,12746,12746,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10404_Floor-1.npz,high_quality_architectural/10404/Floor-1,2,"0,2,4,7,8",5,29778,29778,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_1041_Floor-1.npz,high_quality_architectural/1041/Floor-1,1,"0,1,2,6,8",5,23374,23374,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10440_Floor-1.npz,high_quality_architectural/10440/Floor-1,1,"0,1,2,5,6,7,8",7,37729,37729,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10450_Floor-1.npz,high_quality_architectural/10450/Floor-1,2,"0,7,8",3,5561,5561,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10450_Floor-3.npz,high_quality_architectural/10450/Floor-3,2,"0,3,8",3,2988,2988,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10478_Floor-1.npz,high_quality_architectural/10478/Floor-1,2,"0,2,4,5,8",5,19677,19677,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10487_Floor-1.npz,high_quality_architectural/10487/Floor-1,2,"0,1,2,7,8",5,31136,31136,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10497_Floor-1.npz,high_quality_architectural/10497/Floor-1,1,"0,1,2,7,8",5,25030,25030,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10526_Floor-1.npz,high_quality_architectural/10526/Floor-1,2,"0,1,2,7,8",5,43772,43772,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10539_Floor-1.npz,high_quality_architectural/10539/Floor-1,2,"0,1,2,3,8",5,26173,26173,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10540_Floor-1.npz,high_quality_architectural/10540/Floor-1,2,"0,1,2,3,5,8",6,31832,31832,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10547_Floor-1.npz,high_quality_architectural/10547/Floor-1,2,"0,1,2,3,5,8",6,29232,29232,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10548_Floor-1.npz,high_quality_architectural/10548/Floor-1,2,"0,1,2,3,5,8",6,32210,32210,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10549_Floor-1.npz,high_quality_architectural/10549/Floor-1,1,"0,1,2,5,8",5,32661,32661,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10550_Floor-1.npz,high_quality_architectural/10550/Floor-1,2,"0,1,7,8",4,11904,11904,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10550_Floor-2.npz,high_quality_architectural/10550/Floor-2,1,"0,2,3,8",4,12404,12404,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10572_Floor-1.npz,high_quality_architectural/10572/Floor-1,1,"0,1,5,8",4,14080,14080,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10576_Floor-1.npz,high_quality_architectural/10576/Floor-1,2,"0,4,7,8",4,6894,6894,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10584_Floor-1.npz,high_quality_architectural/10584/Floor-1,1,"0,2,7,8",4,32595,32595,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10588_Floor-1.npz,high_quality_architectural/10588/Floor-1,1,"0,7,8",3,2725,2725,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10614_Floor-1.npz,high_quality_architectural/10614/Floor-1,1,"0,1,2,5,8",5,31737,31737,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10620_Floor-1.npz,high_quality_architectural/10620/Floor-1,0,"0,8",2,5115,5115,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10624_Floor-1.npz,high_quality_architectural/10624/Floor-1,2,"0,1,2,5,7,8",6,12863,12863,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10624_Floor-2.npz,high_quality_architectural/10624/Floor-2,0,"0,8",2,3616,3616,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10638_Floor-1.npz,high_quality_architectural/10638/Floor-1,2,"0,1,2,8",4,37879,37879,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10662_Floor-1.npz,high_quality_architectural/10662/Floor-1,1,"0,1,3,5,7,8",6,23113,23113,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10685_Floor-1.npz,high_quality_architectural/10685/Floor-1,1,"0,1,2,7,8",5,20137,20137,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10697_Floor-1.npz,high_quality_architectural/10697/Floor-1,0,"0,8",2,6586,6586,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10700_Floor-1.npz,high_quality_architectural/10700/Floor-1,0,"0,8",2,8753,8753,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10731_Floor-1.npz,high_quality_architectural/10731/Floor-1,2,"0,4,7,8",4,4676,4676,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10731_Floor-3.npz,high_quality_architectural/10731/Floor-3,2,"0,2,7,8",4,5814,5814,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10733_Floor-1.npz,high_quality_architectural/10733/Floor-1,0,"0,8",2,5038,5038,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10738_Floor-1.npz,high_quality_architectural/10738/Floor-1,2,"0,1,2,4,5,8",6,34623,34623,256x256,256x256,False,room_count_below_min,False,,
