filename,sample_id,room_count,unique_classes,unique_class_count,semantic_nonzero_pixels,outline_pixels,sem_shape,outline_shape,valid,reason,present_in_clean_folder,missing_keys,error,preview_file,preview_error
high_quality_architectural_1128_Floor-2.npz,high_quality_architectural/1128/Floor-2,0,0,1,0,0,256x256,256x256,False,room_count_below_min,False,,,representative_excluded/01_room_count_below_min_high_quality_architectural_1128_Floor-2.npz.png,
high_quality_architectural_4976_Floor-1.npz,high_quality_architectural/4976/Floor-1,0,"0,8",2,9036,9036,256x256,256x256,False,room_count_below_min,False,,,representative_excluded/02_room_count_below_min_high_quality_architectural_4976_Floor-1.npz.png,
high_quality_architectural_6380_Floor-1.npz,high_quality_architectural/6380/Floor-1,1,"0,7,8",3,4114,4114,256x256,256x256,False,room_count_below_min,False,,,representative_excluded/03_room_count_below_min_high_quality_architectural_6380_Floor-1.npz.png,
high_quality_architectural_10731_Floor-3.npz,high_quality_architectural/10731/Floor-3,2,"0,2,7,8",4,5814,5814,256x256,256x256,False,room_count_below_min,False,,,representative_excluded/04_room_count_below_min_high_quality_architectural_10731_Floor-3.npz.png,
high_quality_architectural_14409_Floor-1.npz,high_quality_architectural/14409/Floor-1,2,"0,1,2,3,8",5,26390,26390,256x256,256x256,False,room_count_below_min,False,,,representative_excluded/05_room_count_below_min_high_quality_architectural_14409_Floor-1.npz.png,
high_quality_architectural_2600_Floor-1.npz,high_quality_architectural/2600/Floor-1,2,"0,1,2,3,5,6,7,8",8,9866,9866,256x256,256x256,False,room_count_below_min,False,,,representative_excluded/06_room_count_below_min_high_quality_architectural_2600_Floor-1.npz.png,
high_quality_architectural_10000_Floor-1.npz,high_quality_architectural/10000/Floor-1,1,"0,4,8",3,7793,7793,256x256,256x256,False,room_count_below_min,False,,,representative_excluded/07_room_count_below_min_high_quality_architectural_10000_Floor-1.npz.png,
high_quality_architectural_10019_Floor-1.npz,high_quality_architectural/10019/Floor-1,2,"0,1,3,5,8",5,32955,32955,256x256,256x256,False,room_count_below_min,False,,,representative_excluded/08_room_count_below_min_high_quality_architectural_10019_Floor-1.npz.png,
high_quality_architectural_10020_Floor-1.npz,high_quality_architectural/10020/Floor-1,2,"0,1,2,3,4,5,8",7,42682,42682,256x256,256x256,False,room_count_below_min,False,,,representative_excluded/09_room_count_below_min_high_quality_architectural_10020_Floor-1.npz.png,
high_quality_architectural_10028_Floor-1.npz,high_quality_architectural/10028/Floor-1,1,"0,1,2,8",4,26672,26672,256x256,256x256,False,room_count_below_min,False,,,representative_excluded/10_room_count_below_min_high_quality_architectural_10028_Floor-1.npz.png,
high_quality_architectural_10063_Floor-2.npz,high_quality_architectural/10063/Floor-2,1,"0,7,8",3,1321,1321,256x256,256x256,False,room_count_below_min,False,,,representative_excluded/11_room_count_below_min_high_quality_architectural_10063_Floor-2.npz.png,
high_quality_architectural_10070_Floor-1.npz,high_quality_architectural/10070/Floor-1,1,"0,4,8",3,4389,4389,256x256,256x256,False,room_count_below_min,False,,,representative_excluded/12_room_count_below_min_high_quality_architectural_10070_Floor-1.npz.png,
