epoch,epoch_time_seconds,discriminator_loss,generator_loss,cross_entropy_loss,adversarial_loss,train_miou,validation_cross_entropy,validation_miou,checkpoint_saved
1,231.139922,0.31393135,42.92982864,1.42711412,2.32809723,0.10825295,1.09855903,0.18212547,1
2,213.286168,0.17419752,27.15136050,0.89778732,4.35481674,0.22254184,0.74290552,0.23740615,1
3,204.352094,0.16808829,20.21668417,0.66517549,5.22838973,0.26827179,0.59682377,0.27985453,1
4,186.653869,0.16586212,16.98427210,0.55640568,5.84203498,0.29989890,0.53650673,0.28851021,1
5,184.467881,0.16464068,15.16415903,0.49483701,6.38097551,0.32003151,0.49247562,0.30291045,1
6,197.051306,0.16396108,13.91402782,0.45237180,6.85747803,0.33521800,0.46500101,0.30895884,1
7,211.982854,0.16356299,13.09620258,0.42443234,7.26464583,0.35383159,0.45244214,0.32552549,1
8,210.117427,0.16334475,12.40208488,0.40071695,7.61152499,0.37846423,0.45854449,0.32689386,1
9,211.945464,0.16313201,11.77003344,0.37908866,7.94747337,0.40426358,0.44164267,0.34799390,1
10,205.102900,0.16300823,11.18076359,0.35889670,8.27725272,0.42863686,0.43559347,0.35730115,1
11,197.525083,0.16291430,10.61764517,0.33966326,8.55494817,0.44543328,0.42788829,0.37419116,1
12,188.564173,0.16321114,10.05831729,0.32099406,8.56991121,0.47284671,0.44984226,0.37129835,0
13,192.356079,0.16283542,9.50146578,0.30208722,8.77698649,0.50122450,0.47369289,0.35581072,0
14,197.896484,0.16289379,8.97872490,0.28451250,8.86699639,0.52896285,0.45618075,0.37899304,1
15,197.964355,0.16287673,8.51138872,0.26862444,9.05310941,0.55150215,0.46906801,0.37212883,0
16,196.839863,0.16390926,7.94549835,0.25037879,8.68269108,0.57682682,0.48741295,0.37228672,0
17,196.092129,0.16329488,7.47914917,0.23452736,8.86656962,0.59743009,0.49350981,0.38506534,1
18,204.391407,0.16309171,6.97466521,0.21751758,8.98275874,0.62180827,0.52273017,0.37274830,0
19,200.644685,0.16517984,6.48186234,0.20200226,8.43588879,0.63957178,0.53500249,0.38486596,0
20,207.288465,0.16349001,6.09469325,0.18874521,8.64673606,0.65941864,0.51745161,0.38599955,1
21,207.677825,0.16367738,5.66685683,0.17446933,8.65554171,0.67807705,0.57924948,0.37779551,0
22,205.899857,0.16984312,5.33308133,0.16449310,7.96576952,0.69097440,0.59457924,0.36298764,0
23,205.390085,0.16435696,5.00064116,0.15317939,8.10518843,0.69999321,0.55743438,0.37322618,0
24,206.422063,0.16458534,4.70127061,0.14321200,8.09821337,0.70390497,0.62573525,0.35247983,0
25,217.240117,0.16600424,4.48246675,0.13601157,8.04239594,0.70712162,0.61192379,0.35716148,0
26,212.748110,0.16615502,4.17332386,0.12604949,7.83678239,0.71441192,0.61878752,0.35560052,0
27,203.506776,0.16793273,3.95490562,0.11870908,7.87266595,0.72185573,0.64759437,0.35588710,0
28,207.107469,0.17445881,3.84036292,0.11560572,7.44382669,0.73059597,0.66269252,0.35499083,0
29,199.101154,0.16545796,3.64876858,0.10886871,7.65414841,0.74397885,0.70799289,0.33633402,0
30,198.891829,0.17282768,3.49585745,0.10422722,7.38081914,0.74892118,0.70725272,0.35104533,0
