epoch,epoch_time_seconds,train_loss,train_miou,validation_loss,validation_miou,checkpoint_saved
1,110.074922,0.73706226,0.15897896,0.55290173,0.20327730,1
2,106.577126,0.51539113,0.23732250,0.52114690,0.25422591,1
3,104.180601,0.47667875,0.28541124,0.47505476,0.30268887,1
4,111.284129,0.45250659,0.31448425,0.46191827,0.31699048,1
5,126.581039,0.43440439,0.33297307,0.45888693,0.31538081,0
6,125.508658,0.41838070,0.35225273,0.44868067,0.34061860,1
7,121.738998,0.40408147,0.36944501,0.45725853,0.33734694,0
8,106.791300,0.38735083,0.39042145,0.42968233,0.36095180,1
9,105.646564,0.37317146,0.40803363,0.42057160,0.37557295,1
10,105.259100,0.36064304,0.42389610,0.41920836,0.37763121,1
11,105.696072,0.34510681,0.44402268,0.43150304,0.37965478,1
12,104.968365,0.33365740,0.45867100,0.43341611,0.37928961,0
13,107.669229,0.31836330,0.47899033,0.42976502,0.39201546,1
14,106.696896,0.30322854,0.49909562,0.43282703,0.38916755,0
15,103.970428,0.28779882,0.51938572,0.43787176,0.39093044,0
16,106.159720,0.27239280,0.53804069,0.43795784,0.39887233,1
17,105.088163,0.25798200,0.55709865,0.47260884,0.38816951,0
18,105.431407,0.23880495,0.57849359,0.49151942,0.39169851,0
19,109.728606,0.22442324,0.59997685,0.50953631,0.37957512,0
20,105.526439,0.20824663,0.62113023,0.48355340,0.39983106,1
21,104.620270,0.19160210,0.64287979,0.52006609,0.39242546,0
22,104.934356,0.18100487,0.65128649,0.52084408,0.38772344,0
23,105.048809,0.16655889,0.66388359,0.53152058,0.39727399,0
24,102.507667,0.15563040,0.67301808,0.57901936,0.37388981,0
25,102.362717,0.14585868,0.68233162,0.59185340,0.37442095,0
26,103.352780,0.13561208,0.69158736,0.59782033,0.36899445,0
27,111.843531,0.13325332,0.69458279,0.63315909,0.37106259,0
28,107.401064,0.12167757,0.71472325,0.64802893,0.36716284,0
29,107.694112,0.11642425,0.72345104,0.66149275,0.36599385,0
30,105.130291,0.10877841,0.73684521,0.70196176,0.36901996,0
